Sample ID,Ammonium,Ammonium std,BG province,Basis,Campaign,Chlorophyll a,Date,Date/Time,Depth Layer,Depth Layer Zone,Depth bathy,Depth bottom,Depth nominal,Depth top,Event,Functional Evenness,Functional Richness,Iron,Iron std,Latitude,Longitude,MHW category,MHW count,MP biome,Max Lyapunov Exp,Method/Device,Net PP carbon,Net PP carbon 30,Nitrate,Nitrate std,Nitrite,Nitrite std,OS region,Okubo-Weiss,Particulate Inorganic Carbon,Particulate Organic Carbon,Phosphate max,Phosphate median,Phosphate min,Radiation,Radiation 30,Radiation 8.1,Radiation 8.2,Residence time,SILVA_Chao,SILVA_Shannon,SILVA_ace,SILVA_func_diversity,SILVA_species_rich,SS Fluorescence,SS Quantum Fluorescence,SS Temp Grad,Sea Ice Conc,Sea Ice Free Days,Sea Ice Free End,Sea Ice Free Start,Sea Surface Chl a,Sea Surface Temp,Season,Shannon_D_mean_all,Shannon_D_mean_grp,Shannon_D_month_all,Shannon_D_month_grp,Shannon_P_mean,Shannon_P_month,Station,Strain Sub-mesoscale,Sunshine Duration,Time of Day,Total Suspended Matter,Year,u,v
TARA_X000000174,0.017782107,0.00381424,North Atlantic Drift Province,SV Tara,TARA_20090905Z,43.1353,2009-09-07,2009-09-07 15:30:00,ZZZ,Marine Water,-4948.0,500.0,0-500,0.0,TARA_20090907T1530Z_001_EVENT_NET,,,0.001292765,0.000136637,44.4013,-9.8273,,0,Westerlies Biome,0.075851,"Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3",,,0.006593896,0.002777848,0.033198562,0.021602724,North Atlantic Ocean,-0.11994,0.0002018625236814,68.134090423584,,,,43.496323,34.751957,32.30898,31.9159622192383,10.972222,,,,,,,1.190373314,0.39136,0.0,365.0,365.0,1.0,0.248932622373104,18.63328825,summer,,,,,,,TARA_001,3.304e-06,776.0,day,0.146237798035145,2009,-3.855836,-8.864694
TARA_X000000173,0.017782107,0.00381424,North Atlantic Drift Province,SV Tara,TARA_20090905Z,43.1353,2009-09-07,2009-09-07 16:10:00,SRF,Surface Water,-4948.0,15.0,9,3.0,TARA_20090907T1610Z_001_EVENT_NET,,,0.001292765,0.000136637,44.4013,-9.8273,,0,Westerlies Biome,0.075851,"Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5",,,0.006593896,0.002777848,0.033198562,0.021602724,North Atlantic Ocean,-0.11994,0.0002018625236814,68.134090423584,,,,43.496323,34.751957,32.30898,31.9159622192383,10.972222,,,,,,,1.190373314,0.39136,0.0,365.0,365.0,1.0,0.248932622373104,18.63328825,summer,,,,,,,TARA_001,3.304e-06,776.0,day,0.146237798035145,2009,-3.855836,-8.864694
TARA_X000000172,0.019857132,0.00433433,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090905Z,43.6517,2009-09-09,2009-09-09 18:30:00,ZZZ,Marine Water,-3559.0,200.0,0-200,0.0,TARA_20090909T1830Z_002_EVENT_NET,,,0.001386658,1.591e-06,39.0564,-10.9808,,0,Westerlies Biome,0.044172,"Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4",,,0.0043713,0.001121232,0.02253963,0.003445012,North Atlantic Ocean,-0.006249,,,,,,41.258,40.183044,37.96601,39.2008895874023,2.916667,,,,,,,0.750962622,1.3404,0.0,365.0,365.0,1.0,0.134939208626747,20.02606075,summer,,,,,,,TARA_002,3.444e-06,762.0,day,0.0777167566120625,2009,-0.631608,-0.773749
TARA_X000000171,0.019620689,0.00154935,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,15.8978,2009-09-13,2009-09-13 11:30:00,SRF,Surface Water,-3316.0,15.0,9,3.0,TARA_20090913T1130Z_003_EVENT_NET,,,0.001387426,5.2e-07,36.732,-10.475,,0,Westerlies Biome,0.062208,"Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3",,,0.008996706,0.004590522,0.049836452,0.016419682,North Atlantic Ocean,-0.127186,0.000124909391161,37.9291458129883,,,,47.189667,43.2112,45.09479,44.7137050628662,25.638889,,,,,,,1.320877519,0.42763,0.0,365.0,365.0,1.0,0.0950968600809574,21.36254875,summer,,,,,,,TARA_003,5.203e-06,750.0,night,0.0600930340588093,2009,-3.196994,6.553035
TARA_X000000204,0.019620689,0.00154935,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,15.8978,2009-09-13,2009-09-13 12:00:00,SRF,Surface Water,-3316.0,15.0,9,3.0,TARA_20090913T1200Z_003_EVENT_PUMP,,,0.001387426,5.2e-07,36.732,-10.475,,0,Westerlies Biome,0.062208,High Volume Peristaltic Pump,,,0.008996706,0.004590522,0.049836452,0.016419682,North Atlantic Ocean,-0.127186,0.000124909391161,37.9291458129883,,,,47.189667,43.2112,45.09479,44.7137050628662,25.638889,,,,,,,1.320877519,0.42763,0.0,365.0,365.0,1.0,0.0950968600809574,21.36254875,summer,0.50496,0.766421,0.642455,0.7784,0.578344,0.66464,TARA_003,5.203e-06,750.0,day,0.0600930340588093,2009,-3.196994,6.553035
TARA_X000000254,0.019620689,0.00154935,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,21.3614,2009-09-13,2009-09-13 16:56:00,DCM,Deep Chlorophyll Maximum,-3916.0,75.0,70,65.0,TARA_20090913T1656Z_003_EVENT_CAST,,,0.001387426,5.2e-07,36.631,-10.4073,,0,Westerlies Biome,0.062208,CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers,,,0.008996706,0.004590522,0.049836452,0.016419682,North Atlantic Ocean,-0.127186,,,,,,43.224304,42.952587,44.302357,43.329948425293,25.638889,,,,,,,1.320877519,0.44247,0.0,365.0,365.0,1.0,,21.24997975,summer,,,,,,,TARA_003,4.724e-06,750.0,day,0.0514556132256985,2009,-3.196994,6.553035
TARA_X000000170,0.019620689,0.00154935,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,21.3614,2009-09-13,2009-09-13 19:30:00,DCM,Deep Chlorophyll Maximum,-3916.0,85.0,80,75.0,TARA_20090913T1930Z_003_EVENT_NET,,,0.001387426,5.2e-07,36.732,-10.475,,0,Westerlies Biome,0.062208,"Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3",,,0.008996706,0.004590522,0.049836452,0.016419682,North Atlantic Ocean,-0.127186,0.000124909391161,37.9291458129883,,,,47.189667,43.2112,45.09479,44.7137050628662,25.638889,,,,,,,1.320877519,0.44247,0.0,365.0,365.0,1.0,0.0950968600809574,21.36254875,summer,,,,,,,TARA_003,4.724e-06,750.0,day,0.0600930340588093,2009,-3.196994,6.553035
TARA_X000000267,0.022870243,0.002392894,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,30.8627,2009-09-15,2009-09-15 11:30:00,SRF,Surface Water,-62.0,15.0,9,3.0,TARA_20090915T1130Z_004_EVENT_PUMP,0.745266014,14590.9,0.001387698,2e-09,36.5533,-6.5669,Moderate,1,Westerlies Biome,0.031746,High Volume Peristaltic Pump,,832.628,0.008067715,0.003210727,0.044259438,0.014981045,North Atlantic Ocean,,0.0002519512199796,72.9579429626465,,,,47.267258,42.892536,43.949226,42.7839794158936,4.0,3762.955009,6.635940557,3680.07789,7.145722249,2717.74,1.17632,0.866533094,0.73994,0.0,365.0,365.0,1.0,0.280799493193626,23.055565,summer,,,,,0.602176,0.666198,TARA_004,,745.0,day,0.243606626987457,2009,,
TARA_X000000168,0.022870243,0.002392894,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,13.7497,2009-09-15,2009-09-15 14:00:00,DCM,Deep Chlorophyll Maximum,-49.0,45.0,40,35.0,TARA_20090915T1400Z_004_EVENT_NET,,,0.001387698,2e-09,36.5533,-6.5669,Moderate,1,Westerlies Biome,0.031746,"Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3",,,0.008067715,0.003210727,0.044259438,0.014981045,North Atlantic Ocean,,0.0002519512199796,72.9579429626465,,,,47.267258,42.892536,43.949226,42.7839794158936,4.0,,,,,,,0.866533094,0.8599,0.0,365.0,365.0,1.0,0.280799493193626,23.055565,summer,,,,,,,TARA_004,,745.0,day,0.243606626987457,2009,,
TARA_X000000165,0.022870243,0.002392894,North Atlantic Subtropical Gyral Province,SV Tara,TARA_20090913Z,13.7497,2009-09-15,2009-09-15 14:15:00,SRF,Surface Water,-49.0,15.0,9,3.0,TARA_20090915T1415Z_004_EVENT_NET,,,0.001387698,2e-09,36.5533,-6.5669,Moderate,1,Westerlies Biome,0.031746,"Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3",,,0.008067715,0.003210727,0.044259438,0.014981045,North Atlantic Ocean,,0.0002519512199796,72.9579429626465,,,,47.267258,42.892536,43.949226,42.7839794158936,4.0,,,,,,,0.866533094,0.8599,0.0,365.0,365.0,1.0,0.280799493193626,23.055565,summer,,,,,,,TARA_004,,745.0,day,0.243606626987457,2009,,
