/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Registry of all campaigns (from port to port) from the Tara Oceans Expedition (2009-2013). PANGAEA, https://doi.org/10.1594/PANGAEA.842191
Abstract:	The Tara Oceans Expedition (2009-2013) sampled the world oceans on board a 36 m long schooner, collecting environmental data and organisms from viruses to planktonic metazoans for later analyses using modern sequencing and state-of-the-art imaging technologies. Tara Oceans Data are particularly suited to study the genetic, morphological and functional diversity of plankton. The present data set is a registry of all campaigns (from port to port) conducted during the Tara Oceans Expedition (2009-2013). The registry provides details about the scientific interest of each campaign, including direct links (URLs) to the corresponding (1) campaign report, (2) samples collected during the campaign, (3) environmental data published at PANGAEA, and (4) nucleotides data published at the European Nucleotides Archive (EBI-ENA).
Related to:	Pesant, Stephane; Not, Fabrice; Picheral, Marc; Kandels-Lewis, Stefanie; Le Bescot, Noan; Gorsky, G; Iudicone, Daniele; Karsenti, Eric; Speich, Sabrina; Troublé, Romain; Dimier, Céline; Searson, Sarah; Acinas, Silvia G; Bork, Peer; Boss, Emmanuel; Bowler, Chris; De Vargas, Colomban; Follows, Michael J; Grimsley, Nigel; Hingamp, Pascal; Jaillon, Olivier; Karp-Boss, Lee; Krzic, Uros; Ogata, Hiroyuki; Raes, Jeroen; Reynaud G., Emmanuel; Sardet, Christian; Sieracki, Michael E; Stemmann, Lars; Sullivan, Matthew B; Sunagawa, Shinichi; Velayoudon, Didier; Weissenbach, Jean; Wincker, Patrick (2015): Open science resources for the discovery and analysis of Tara Oceans data. Scientific Data, 2, 150023, https://doi.org/10.1038/sdata.2015.23
Project(s):	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Tara Oceans Expedition (Tara_Oceans_2009-2013) (URI: https://fondationtaraocean.org/en/expedition/tara-oceans/)
Coverage:	MEDIAN LATITUDE: 15.222688 * MEDIAN LONGITUDE: -15.495916 * SOUTH-BOUND LATITUDE: -54.978490 * WEST-BOUND LONGITUDE: -157.886300 * NORTH-BOUND LATITUDE: 76.103600 * EAST-BOUND LONGITUDE: 174.592100
	DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2013-12-07T00:00:00
Event(s):	TARA_20090905Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 47.309500 * LONGITUDE START: -3.867030 * LATITUDE END: 40.231000 * LONGITUDE END: -10.644000 * DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2009-09-10T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090913Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 38.554750 * LONGITUDE START: -9.394280 * LATITUDE END: 35.792780 * LONGITUDE END: -5.786820 * DATE/TIME START: 2009-09-13T00:00:00 * DATE/TIME END: 2009-09-17T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090919Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 35.800480 * LONGITUDE START: -5.785030 * LATITUDE END: 36.817200 * LONGITUDE END: 3.108050 * DATE/TIME START: 2009-09-19T00:00:00 * DATE/TIME END: 2009-09-25T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090926Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 36.882500 * LONGITUDE START: 3.158870 * LATITUDE END: 41.275720 * LONGITUDE END: 2.265930 * DATE/TIME START: 2009-09-26T00:00:00 * DATE/TIME END: 2009-10-02T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091004Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 41.367670 * LONGITUDE START: 2.214120 * LATITUDE END: 43.148000 * LONGITUDE END: 6.896000 * DATE/TIME START: 2009-10-04T00:00:00 * DATE/TIME END: 2009-10-06T00:00:00 * CAMPAIGN: TARA_20091004Z (Barcelona to Nice, Stations: none) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091011Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 43.658380 * LONGITUDE START: 7.311050 * LATITUDE END: 37.346000 * LONGITUDE END: 10.059000 * DATE/TIME START: 2009-10-11T00:00:00 * DATE/TIME END: 2009-10-16T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091019Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 37.354720 * LONGITUDE START: 9.956080 * LATITUDE END: 40.759100 * LONGITUDE END: 14.212770 * DATE/TIME START: 2009-10-19T00:00:00 * DATE/TIME END: 2009-10-22T00:00:00 * CAMPAIGN: TARA_20091019Z (Bizerte to Naples, Stations: TARA_014) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091025Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 40.760230 * LONGITUDE START: 14.245420 * LATITUDE END: 36.289470 * LONGITUDE END: 14.334320 * DATE/TIME START: 2009-10-25T00:00:00 * DATE/TIME END: 2009-10-29T00:00:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091031Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 35.894720 * LONGITUDE START: 14.593480 * LATITUDE END: 32.920050 * LONGITUDE END: 13.218650 * DATE/TIME START: 2009-10-31T00:00:00 * DATE/TIME END: 2009-11-06T00:00:00 * CAMPAIGN: TARA_20091031Z (Valetta to Tripoli, Stations: TARA_018) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20091108Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 32.800000 * LONGITUDE START: 13.100000 * LATITUDE END: 32.800000 * LONGITUDE END: 13.100000 * DATE/TIME START: 2009-11-08T00:00:00 * DATE/TIME END: 2009-11-11T00:00:00 * CAMPAIGN: TARA_20091108Z (Tripoli to Valetta, Stations: TARA_019) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
